datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,fog,rain,snow,hail,thunder,tornado
20151231T2100,9,48,9,48,100,0.0,0.0,,,,,1,1,1020,30.13,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160101T0000,8,47,8,47,100,0.0,0.0,,,,,1,1,1020,30.14,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160101T0300,10,49,9,48,94,0.0,0.0,,,,,0.2,0,1022,30.19,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160101T0600,20,68,12,54,51,3.7,2.3,,,340,NNW,1,1,1022,30.19,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160101T0900,23,74,10,50,32,3.7,2.3,,,340,NNW,2,1,1019,30.10,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160101T1200,21,69,12,53,47,0.0,0.0,,,,,1,1,1020,30.12,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160101T1800,11,52,10,50,89,0.0,0.0,,,,,0.5,0,1023,30.21,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160101T2100,10,50,9,49,93,0.0,0.0,,,,,0.5,0,1022,30.19,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160102T0000,9,48,8,47,96,0.0,0.0,,,,,0.5,0,1022,30.19,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160102T0300,9,48,9,47,97,0.0,0.0,,,,,0.5,0,1024,30.23,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160102T0600,20,68,11,52,45,0.0,0.0,,,,,1,1,1023,30.21,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160102T0900,22,71,11,52,40,11.1,6.9,,,290,WNW,1,1,1019,30.09,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160102T1200,20,68,12,54,51,5.6,3.5,,,290,WNW,1,1,1019,30.09,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160102T1500,13,55,10,51,80,0.0,0.0,,,,,2,1,1021,30.16,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160102T1800,10,50,10,50,98,0.0,0.0,,,,,1,1,1020,30.14,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160102T2100,9,49,9,49,100,0.0,0.0,,,,,1,1,1020,30.12,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160103T0000,10,49,10,49,100,1.9,1.2,,,270,West,0.2,0,1019,30.10,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160103T0300,10,51,10,50,95,7.4,4.6,,,270,West,0.2,0,1021,30.14,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160103T0600,18,64,12,53,59,9.3,5.8,,,290,WNW,1,1,1020,30.12,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160103T0900,22,72,10,50,34,13.0,8.1,,,290,WNW,1,1,1016,30.01,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160103T1200,20,69,11,53,45,5.6,3.5,,,270,West,2,1,1016,30.01,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160103T1500,13,55,11,51,83,3.7,2.3,,,270,West,2,1,1018,30.05,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160103T1800,11,52,10,50,90,0.0,0.0,,,,,2,1,1019,30.10,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160103T2100,11,51,10,49,92,0.0,0.0,,,,,1,1,1019,30.09,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160104T0000,9,49,8,47,91,0.0,0.0,,,,,1,1,1018,30.06,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160104T0300,9,49,9,48,96,0.0,0.0,,,,,0.2,0,1021,30.15,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160104T0600,20,67,12,54,53,0.0,0.0,,,,,0.5,0,1010,29.84,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160104T0900,23,73,13,55,43,0.0,0.0,,,,,1,1,1017,30.03,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160104T1200,20,68,14,58,63,0.0,0.0,,,,,0.5,0,1017,30.04,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160104T1500,15,59,14,57,89,0.0,0.0,,,,,0.5,0,1020,30.12,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160104T1800,15,59,14,57,92,0.0,0.0,,,,,0.5,0,1020,30.12,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160104T2100,15,58,13,56,90,0.0,0.0,,,,,0.5,0,1018,30.08,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160105T0000,13,55,12,54,97,0.0,0.0,,,,,0.5,0,1018,30.06,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160105T0300,12,53,11,53,98,0.0,0.0,,,,,0.2,0,1020,30.11,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160105T1200,23,73,17,63,62,3.7,2.3,,,110,ESE,1,1,1014,29.95,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160105T1500,17,62,15,59,88,0.0,0.0,,,,,1,1,1016,30.02,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160105T1800,15,60,15,58,93,0.0,0.0,,,,,0.5,0,1017,30.04,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160105T2100,15,58,14,57,95,0.0,0.0,,,,,0.5,0,1017,30.03,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160106T0000,13,55,13,55,98,0.0,0.0,,,,,0.5,0,1017,30.03,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160106T0300,12,54,12,53,95,0.0,0.0,,,,,0.5,0,1018,30.07,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160106T0600,21,71,15,58,55,7.4,4.6,,,90,East,1,1,1017,30.04,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160106T0900,24,76,17,62,52,11.1,6.9,,,110,ESE,1,1,1014,29.96,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160106T1200,22,71,17,63,70,0.0,0.0,,,,,1,1,1014,29.96,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160106T1500,17,63,16,61,89,0.0,0.0,,,,,0.5,0,1017,30.02,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160106T1800,16,60,15,60,98,0.0,0.0,,,,,0.5,0,1018,30.06,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160106T2100,14,57,13,56,96,0.0,0.0,,,,,0.2,0,1017,30.05,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160107T0000,12,54,12,54,100,0.0,0.0,,,,,0.2,0,1018,30.07,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160107T0300,14,56,13,56,99,0.0,0.0,,,,,0.2,0,1020,30.12,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160107T0600,20,69,16,62,71,0.0,0.0,,,,,0.5,0,1020,30.11,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160107T0900,24,75,18,64,60,0.0,0.0,,,,,1,1,1016,30.02,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160107T1200,21,69,18,64,81,0.0,0.0,,,,,0.5,0,1016,30.02,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160107T1500,16,61,15,59,92,0.0,0.0,,,,,0.5,0,1018,30.06,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160107T1800,15,60,15,59,96,0.0,0.0,,,,,0.5,0,1019,30.08,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160107T2100,15,59,15,58,97,0.0,0.0,,,,,0.2,0,1018,30.07,-999,-999,-9999,-9999,,,Light Fog,1,0,0,0,0,0
20160108T0000,13,56,13,56,99,0.0,0.0,,,,,0.2,0,1017,30.03,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160108T0300,14,57,14,57,100,7.4,4.6,,,270,West,0.02,0,1020,30.11,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160108T0600,15,60,15,59,96,9.3,5.8,,,230,SW,0.05,0,1020,30.13,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160108T0900,21,70,11,52,42,13.0,8.1,,,320,NW,0.5,0,1016,30.02,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160108T1200,19,66,14,58,67,3.7,2.3,,,290,WNW,1,1,1016,30.01,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160108T1500,16,60,14,57,85,11.1,6.9,,,250,WSW,1,1,1017,30.02,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160108T1800,14,57,12,54,87,9.3,5.8,,,250,WSW,1,1,1016,30.01,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160108T2100,12,54,11,52,90,9.3,5.8,,,270,West,1,1,1016,30.00,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160109T0000,12,53,10,50,86,7.4,4.6,,,270,West,1,1,1015,29.97,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160109T0300,11,52,10,50,92,9.3,5.8,,,270,West,0.2,0,1016,30.00,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160109T0600,19,66,10,50,46,14.8,9.2,,,290,WNW,2,1,1016,30.00,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160109T0900,22,72,9,48,31,20.4,12.7,,,290,WNW,2,1,1014,29.95,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160109T1200,20,68,10,49,40,7.4,4.6,,,270,West,2,1,1015,29.98,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160109T1500,15,59,11,52,72,0.0,0.0,,,,,2,1,1016,29.99,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160109T1800,12,53,10,51,89,0.0,0.0,,,,,1,1,1016,30.01,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160110T0000,10,50,9,49,93,0.0,0.0,,,,,1,1,1016,30.00,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160110T0300,10,50,9,49,93,0.0,0.0,,,,,1,1,1018,30.06,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160110T0600,21,69,11,53,45,7.4,4.6,,,250,WSW,2,1,1018,30.06,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160110T0900,24,76,14,56,40,11.1,6.9,,,250,WSW,2,1,1015,29.98,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160110T1200,22,71,14,57,53,3.7,2.3,,,320,NW,2,1,1017,30.03,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160110T1500,14,58,13,55,85,0.0,0.0,,,,,2,1,1018,30.07,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160110T1800,13,55,12,53,89,0.0,0.0,,,,,1,1,1019,30.11,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
